Microsoft (R) COFF/PE Dumper Version 10.00.30319.01
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\Windows\SysWOW64\ole32.dll

File Type: DLL

  Section contains the following exports for ole32.dll

    00000000 characteristics
    4C296488 time date stamp Tue Jun 29 05:12:08 2010
        0.00 version
           1 ordinal base
         394 number of functions
         394 number of names

    ordinal hint RVA      name

         10    0 00005FBF BindMoniker
         11    1 000FA633 CLIPFORMAT_UserFree
         12    2 000B8C92 CLIPFORMAT_UserMarshal
         13    3 000B8A4A CLIPFORMAT_UserSize
         14    4 000B9019 CLIPFORMAT_UserUnmarshal
         15    5 0002532C CLSIDFromOle1Class
         16    6 00024FD8 CLSIDFromProgID
         17    7 0000F8B4 CLSIDFromProgIDEx
         18    8 0001E33D CLSIDFromString
         19    9 0005C899 CoAddRefServerProcess
         20    A 00017250 CoAllowSetForegroundWindow
         21    B 00074809 CoBuildVersion
         22    C 000D00CD CoCancelCall
         23    D 00015F3B CoCopyProxy
         24    E 0001E442 CoCreateFreeThreadedMarshaler
         25    F 000411AD CoCreateGuid
         26   10 0005590C CoCreateInstance
         27   11 0005594F CoCreateInstanceEx
         28   12 000D2943 CoCreateObjectInContext
         29   13 000CFA01 CoDeactivateObject
         30   14 000030AF CoDisableCallCancellation
         31   15 000E02B9 CoDisconnectContext
         32   16 0001E576 CoDisconnectObject
         33   17 000E74F5 CoDosDateTimeToFileTime
         34   18 00003078 CoEnableCallCancellation
         35   19 000736F4 CoFileTimeNow
         36   1A 000E74A1 CoFileTimeToDosDateTime
         37   1B 0002EA31 CoFreeAllLibraries
         38   1C 000E07EE CoFreeLibrary
         39   1D 00059A83 CoFreeUnusedLibraries
         40   1E 000597D7 CoFreeUnusedLibrariesEx
         41   1F 000CF892 CoGetActivationState
         42   20 000D3F0A CoGetApartmentID
         43   21 0004681E CoGetApartmentType
         44   22 00017122 CoGetCallContext
         45   23 000CF84B CoGetCallState
         46   24 000CD953 CoGetCallerTID
         47   25 000CFFF7 CoGetCancelObject
         48   26 0003A394 CoGetClassObject
         49   27 000CD7C9 CoGetClassVersion
         50   28 00043381 CoGetComCatalog
         51   29 00039DCF CoGetContextToken
         52   2A 0008F234 CoGetCurrentLogicalThreadId
         53   2B 00078BD9 CoGetCurrentProcess
         54   2C 0008E464 CoGetDefaultContext
         55   2D 000C149A CoGetInstanceFromFile
         56   2E 000E07BF CoGetInstanceFromIStorage
         57   2F 000EC3B5 CoGetInterceptor
         58   30 00008065 CoGetInterceptorFromTypeInfo
         59   31 00024102 CoGetInterfaceAndReleaseStream
         60   32 00042C8C CoGetMalloc
         61   33 00038E20 CoGetMarshalSizeMax
         62   34 000E4617 CoGetModuleType
         63   35 00059E65 CoGetObject
         64   36 00045EDC CoGetObjectContext
         65   37 00023B0F CoGetPSClsid
         66   38 000CF7F6 CoGetProcessIdentifier
         67   39 00078AD0 CoGetStandardMarshal
         68   3A 000CF90B CoGetStdMarshalEx
         69   3B 000CF821 CoGetSystemSecurityPermissions
         70   3C 0002A567 CoGetTreatAsClass
         71   3D 0000EF7D CoImpersonateClient
         72   3E 00017217 CoInitialize
         73   3F 000408CC CoInitializeEx
