Microsoft (R) COFF/PE Dumper Version 10.00.30319.01
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\Windows\System32\ole32.dll

File Type: DLL

  Section contains the following exports for ole32.dll

    00000000 characteristics
    4C296AF4 time date stamp Tue Jun 29 05:39:32 2010
        0.00 version
           1 ordinal base
         458 number of functions
         458 number of names

    ordinal hint RVA      name

         10    0 0000A79C BindMoniker
         11    1 000762D0 CLIPFORMAT_UserFree
         12    2 000762D0 CLIPFORMAT_UserFree64
         13    3 00099300 CLIPFORMAT_UserMarshal
         14    4 000991B0 CLIPFORMAT_UserMarshal64
         15    5 00079D00 CLIPFORMAT_UserSize
         16    6 00079C60 CLIPFORMAT_UserSize64
         17    7 000B18C0 CLIPFORMAT_UserUnmarshal
         18    8 000B16B0 CLIPFORMAT_UserUnmarshal64
         19    9 0002E478 CLSIDFromOle1Class
         20    A 0002DBA0 CLSIDFromProgID
         21    B 0002E614 CLSIDFromProgIDEx
         22    C 00021158 CLSIDFromString
         23    D 0011C530 CoAddRefServerProcess
         24    E 000D21E0 CoAllowSetForegroundWindow
         25    F 00083E50 CoBuildVersion
         26   10 000E4C00 CoCancelCall
         27   11 000828D0 CoCopyProxy
         28   12 00016680 CoCreateFreeThreadedMarshaler
         29   13 0000D170 CoCreateGuid
         30   14 000387B0 CoCreateInstance
         31   15 0000D62C CoCreateInstanceEx
         32   16 0015F540 CoCreateObjectInContext
         33   17 0014B5D0 CoDeactivateObject
         34   18 0000DB40 CoDisableCallCancellation
         35   19 0015F190 CoDisconnectContext
         36   1A 00008E40 CoDisconnectObject
         37   1B 000CE810 CoDosDateTimeToFileTime
         38   1C 0000DB00 CoEnableCallCancellation
         39   1D 000CE7A0 CoFileTimeNow
         40   1E 000CE870 CoFileTimeToDosDateTime
         41   1F 000762D0 CoFreeAllLibraries
         42   20 000B49B0 CoFreeLibrary
         43   21 0000591C CoFreeUnusedLibraries
         44   22 0000BF9C CoFreeUnusedLibrariesEx
         45   23 00117F60 CoGetActivationState
         46   24 00002200 CoGetApartmentID
         47   25 0003AE88 CoGetApartmentType
         48   26 00006180 CoGetCallContext
         49   27 000830C0 CoGetCallState
         50   28 001181F0 CoGetCallerTID
         51   29 000DE920 CoGetCancelObject
         52   2A 00027748 CoGetClassObject
         53   2B 0014FBB0 CoGetClassVersion
         54   2C 00029F70 CoGetComCatalog
         55   2D 0000F604 CoGetContextToken
         56   2E 000023FC CoGetCurrentLogicalThreadId
         57   2F 0011D3A0 CoGetCurrentProcess
         58   30 0012B600 CoGetDefaultContext
         59   31 0016B440 CoGetInstanceFromFile
         60   32 0016B3C0 CoGetInstanceFromIStorage
         61   33 001283E0 CoGetInterceptor
         62   34 001276B0 CoGetInterceptorFromTypeInfo
         63   35 0015A250 CoGetInterfaceAndReleaseStream
         64   36 0003D7E0 CoGetMalloc
         65   37 000140A0 CoGetMarshalSizeMax
         66   38 000B3FF0 CoGetModuleType
         67   39 00163950 CoGetObject
         68   3A 00030F90 CoGetObjectContext
         69   3B 0012C210 CoGetPSClsid
         70   3C 000A0260 CoGetProcessIdentifier
         71   3D 0012ECA0 CoGetStandardMarshal
